month,year,nfirms,me,div_yld,log_excess_ret
11,1982,5524,1595730722.453125,0.04263309019795847,0.04423258141958726
12,1982,5521,1643852421.171875,0.04116071927967013,0.007703249247928747
1,1983,5522,1692916799.734375,0.04044691843072223,0.03439734742011366
2,1983,5532,1729628377.328125,0.03943359378477378,0.023238876360205028
3,1983,5572,1691741537.875,0.04050413156379048,0.02735466902547598
4,1983,5607,1817795625.421875,0.0377701824889663,0.06462799865873102
5,1983,5649,1839790305.890625,0.03685115834627422,0.006319944470562367
6,1983,5715,1926177007.6875,0.03592250523476466,0.030336924538535835
7,1983,5799,1872117149.1875,0.03692808302013093,-0.03937737794485782
8,1983,5878,1874765459.453125,0.03652545513543026,-0.004079172319536307
9,1983,5934,1911999063.703125,0.03646871914261759,0.008146724151542857
10,1983,6008,1855809207.9375,0.03747102738107412,-0.03595173949393516
11,1983,6089,1908734572.328125,0.03645074975983339,0.021953437595876323
12,1983,6183,1897817306.484375,0.03767583098756775,-0.017792616556707722
1,1984,6211,1873951075.8125,0.03844685177941932,-0.020582583988796553
2,1984,6246,1784229633.453125,0.04014827156335798,-0.04724613386802073
3,1984,6290,1803620441.90625,0.04012096706228529,0.005754692483727345
4,1984,6312,1804462204.796875,0.04051035592001027,-0.005367245178744537
5,1984,6332,1687314269.6875,0.04347020209132738,-0.06178095809666674
6,1984,6340,1702899064.578125,0.04365766996471038,0.014956486029541206
7,1984,6339,1658489832.984375,0.04526038201101121,-0.02902998278152768
8,1984,6359,1835376807.390625,0.04103290552171038,0.09838343426422397
9,1984,6323,1829821390.640625,0.04107223386388822,-0.008284238330144312
10,1984,6314,1816729979.171875,0.04241695379765215,-0.00867754386054926
11,1984,6310,1779598528.234375,0.04240083237322861,-0.018826398224456323
12,1984,6319,1800872200.234375,0.04219695602590883,0.01622821984814492
1,1985,6300,1944669977.390625,0.03922851512594992,0.07554822997342532
2,1985,6292,1964607559.34375,0.03902419893927887,0.010310969567905018
3,1985,6285,1953883638.594915,0.03927917702671603,-0.008616555461938132
4,1985,6295,1948938987.625,0.03957567042511849,-0.009264308648975659
5,1985,6289,2040838995.203125,0.03779678576555497,0.04767099609447201
6,1985,6296,2055199009.484375,0.03732269333026792,0.01073260545635119
7,1985,6300,2053469034.869911,0.03787024984758098,-0.006025990948459497
8,1985,6298,2034191097.40625,0.0385291548596611,-0.010688191234644758
9,1985,6306,1940277084.296875,0.04050792368151564,-0.04657312959715999
10,1985,6322,2024705300.21875,0.03863485463152083,0.03758258213097075
11,1985,6321,2143066407.390625,0.03693954053844201,0.06098795614128732
12,1985,6330,2242572240.921875,0.03532394323814473,0.03614445379268094
1,1986,6288,2258166558.609375,0.03517340273942138,0.0038827679236276835
2,1986,6285,2405742634.10645,0.03318657315654076,0.064118925551742
3,1986,6312,2535601162.796875,0.034761512500786,0.04661913963472226
4,1986,6327,2505160454.890625,0.0355572848628013,-0.013386172897818386
5,1986,6377,2626321528.078125,0.03382872930579156,0.04455921413813831
6,1986,6455,2668930077.328125,0.0335528940379994,0.009031595499488457
7,1986,6501,2516111844.203125,0.03575708716581529,-0.06671796140462251
8,1986,6541,2675425580.75,0.0332773008624202,0.05923841108609805
9,1986,6569,2463589976.140625,0.03639437197511206,-0.08691470596414558
10,1986,6617,2573618490.09375,0.03531221613151447,0.04379577142819813
11,1986,6648,2602486335.171875,0.03567265323396287,0.010672857325840885
12,1986,6661,2516102810.953125,0.03717790926898992,-0.03118980929769679
1,1987,6678,2839222399.953125,0.03281779650336654,0.11629068366809855
2,1987,6747,2967990145.09375,0.03138831645596021,0.042294362680939224
3,1987,6805,3045726008.0625,0.02825179606017224,0.018740830895818687
4,1987,6849,2991241350.421875,0.02922287034442345,-0.021789606543968307
5,1987,6924,3009047718.421875,0.02922772972663145,0.00042093259580152764
6,1987,6999,3145442716.515625,0.0281603377132882,0.03802339702815175
7,1987,7057,3266862076.765625,0.02749747591493485,0.038582179289531296
8,1987,7114,3375254389.078125,0.02697315383988365,0.03174321388812505
9,1987,7174,3312253756.046875,0.0277547031400881,-0.026012502531670267
10,1987,7162,2553910023.703125,0.03621630802233385,-0.26067732607952954
11,1987,7132,2355074826.0625,0.03937661048237107,-0.08011202267059336
12,1987,7119,2518084081.578125,0.03693124864837689,0.06323094600068667
1,1988,7107,2618600532.65625,0.03578893817149835,0.03910045081536094
2,1988,7083,2738873042.453125,0.03612442636643359,0.04556936143965713
3,1988,7067,2681495427.953125,0.03686964963611512,-0.02144286829426145
4,1988,7061,2703878689.28125,0.03622811622412788,0.0061942618294066765
5,1988,7031,2688832480.234375,0.03713674072544784,-0.004466011735382766
6,1988,7031,2801423983.484375,0.03558173052196918,0.044973714365247344
7,1988,7036,2779468429.765625,0.03643538489813984,-0.012667464870026204
8,1988,7015,2678277409.6875,0.03844347645495615,-0.033998312566365194
9,1988,6984,2765638690.40625,0.03722957670962357,0.03066253710097339
10,1988,7002,2803544444.34375,0.03751034415600232,0.011475928669295846
11,1988,6975,2742304826.03125,0.03911866079142547,-0.02265347054228445
12,1988,6927,2752913521.25,0.03979314932641273,0.014406228948362281
1,1989,6915,2912831503.921875,0.03864249239220311,0.05730557991249151
2,1989,6898,2852155219.46875,0.03800598531903906,-0.023446697514270733
3,1989,6877,2905745479.125,0.03758823231658896,0.014154683128794011
4,1989,6871,3035751295.0625,0.03624080797058672,0.03975796509871268
5,1989,6851,3107801154.875,0.03622641177030404,0.03139957023543942
6,1989,6817,3082188767.453125,0.0368280601733699,-0.011868268321650815
7,1989,6830,3301532782.1875,0.03421502679096169,0.06752953257060604
8,1989,6801,3361135413.328125,0.03381621122409153,0.015339571817442062
9,1989,6775,3349898168.328125,0.03457596370224809,-0.00803584376615628
10,1989,6767,3248901341.96875,0.03510581566393873,-0.036159933275728355
11,1989,6771,3291733402.703125,0.03410656042917087,0.011312670170952652
12,1989,6773,3356589836.90625,0.03340471811416517,0.011740790735973995
1,1990,6764,3103307010.65625,0.03564200105745524,-0.07903148540476965
2,1990,6756,3142693850.640625,0.03560009107460669,0.008443600413771367
3,1990,6760,3219076910.890625,0.03472148057581811,0.01743175965877744
4,1990,6768,3122594223.71875,0.0363287866754089,-0.03525242701326247
5,1990,6770,3386794565.625,0.03326872269771473,0.0787460271426775
6,1990,6757,3365542428.1875,0.03361919685494862,-0.010631103039664708
7,1990,6758,3331819411.15625,0.03411675303933939,-0.01585739074984792
8,1990,6742,3008163177.359375,0.03766137398234085,-0.10273400158760604
9,1990,6722,2834212427.859375,0.03919032965501475,-0.06153695968880362
10,1990,6701,2792088134.078125,0.03988303682986255,-0.018692370548999
11,1990,6677,2958801339.875,0.03784694215016544,0.05771404971002615
12,1990,6667,3032847815.078125,0.03704407894674267,0.023217838116278543
1,1991,6638,3169961901.453125,0.03552648879134208,0.04231549724871876
2,1991,6624,3396831737.21875,0.03330234208502387,0.06793924171887436
3,1991,6623,3501551783.421875,0.03219200528201788,0.023573863199919713
4,1991,6602,3509827227.328125,0.03214208055276792,-0.0016073811519205562
5,1991,6615,3641331875.296875,0.03073129980567634,0.035231832221239226
6,1991,6648,3499294203.609375,0.03186674036561829,-0.049562150890403875
7,1991,6652,3665604415.851562,0.03012166873012026,0.04109645605179167
8,1991,6674,3755895342.78125,0.02946856424046219,0.02181476513964062
9,1991,6696,3740273803.960938,0.02990557459477032,-0.015471545592908184
10,1991,6726,3811480904.171875,0.02901440605347071,0.013349046039049883
11,1991,6756,3668309485.46875,0.03028597430296967,-0.04215380489419483
12,1991,6767,4071923463.5625,0.02728363022763324,0.09766390745886058
1,1992,6779,4062619929.632812,0.02721839799732007,-0.0045506059116802175
2,1992,6801,4109906771.140625,0.02684566734597676,0.01010494476280646
3,1992,6858,4048983169.515625,0.02767051728923879,-0.027179229372229934
4,1992,6866,4094512920.09375,0.0270632784870729,0.009963816712668948
5,1992,6859,4111776852.515625,0.02701941624604811,0.003266435088502788
6,1992,6863,4055201461.28125,0.02782820229246093,-0.022466284841927826
7,1992,6850,4211079541.921875,0.02678034082033668,0.03607919649808989
8,1992,6846,4114396223.890625,0.02748752337882987,-0.023710199562257735
